"","Sample","Cattle_ID","Life_stage","Sex","Predeliction","A..variegatum","A..coharenses","B..annulatus","B..decoloratus","B..geigyi","H..laechi","R..gulhoni","R..lunulatus","R..muhsame","R..sanguineus","R..senegalensis","R..gemma","Boophilus.sp.","R..quilhoni","A.gemma","R.fanguineus"
"229","S1",10,"Nymph","Female","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"230","S1",10,"Nymph","Female","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231","S1",10,"Nymph","Female","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232","S1",10,"Nymph","Female","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233","S1",10,"Nymph","Female","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234","S1",10,"Nymph","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235","S1",10,"Nymph","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236","S1",10,"Nymph","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"237","S1",10,"Nymph","Male","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238","S1",10,"Nymph","Male","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239","S1",10,"Nymph","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240","S1",10,"Nymph","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","S1",11,"Adult","Female","Leg",0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"242","S1",11,"Adult","Female","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243","S1",11,"Adult","Female","Head",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"244","S1",11,"Adult","Female","Tail",0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
"245","S1",11,"Adult","Female","Neck",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"246","S1",11,"Adult","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"247","S1",11,"Adult","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248","S1",11,"Adult","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
